first_name,second_name,team,minutes,clean_sheets,bps,clean_sheets_per_90,expected_goals_conceded_per_90,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,date
Giovanni,Leoni,12,0,0,0,0,0,0,0,0,24-02-2026
Wellity,Lucky,12,0,0,0,0,0,0,0,0,24-02-2026
Manuel,Akanji,13,0,0,0,0,0,0,0,0,24-02-2026
Vitor,de Oliveira Nunes dos Reis,13,0,0,0,0,0,0,0,0,24-02-2026
Stephen,Mfuni,13,0,0,0,0,0,0,0,0,24-02-2026
Diego,León Blanco,14,0,0,0,0,0,0,0,0,24-02-2026
Harry,Amass,14,0,0,0,0,0,0,0,0,24-02-2026
Godwill,Kukonki,14,0,0,0,0,0,0,0,0,24-02-2026
Jamaal,Lascelles,15,19,0,0,0,2.61,0.19,0,0.19,24-02-2026
Harrison,Ashby,15,0,0,0,0,0,0,0,0,24-02-2026
Miodrag,Pivaš,15,0,0,0,0,0,0,0,0,24-02-2026
Matt,Targett,15,0,0,0,0,0,0,0,0,24-02-2026
Leo,Shahar,15,0,0,0,0,0,0,0,0,24-02-2026
David,Mota Veiga Teixeira do Carmo,16,0,0,0,0,0,0,0,0,24-02-2026
Omar,Richards,16,0,0,0,0,0,0,0,0,24-02-2026
Willy,Boly,16,0,0,0,0,0,0,0,0,24-02-2026
Luis Eduardo,Soares da Silva,16,0,0,0,0,0,0,0,0,24-02-2026
Aji,Alese,17,0,0,0,0,0,0,0,0,24-02-2026
Joe,Anderson,17,0,0,0,0,0,0,0,0,24-02-2026
Leo Fuhr,Hjelde,17,0,0,0,0,0,0,0,0,24-02-2026
Niall,Huggins,17,0,0,0,0,0,0,0,0,24-02-2026
Zak,Johnson,17,0,0,0,0,0,0,0,0,24-02-2026
Timothée,Pembélé,17,0,0,0,0,0,0,0,0,24-02-2026
Jenson,Jones,17,0,0,0,0,0,0,0,0,24-02-2026
Ashley,Phillips,18,0,0,0,0,0,0,0,0,24-02-2026
Takai,Kōta,18,0,0,0,0,0,0,0,0,24-02-2026
Luka,Vušković,18,0,0,0,0,0,0,0,0,24-02-2026
James,Rowswell,18,0,0,0,0,0,0,0,0,24-02-2026
Emerson,Palmieri dos Santos,19,0,0,0,0,0,0,0,0,24-02-2026
Kaelan,Casey,19,0,0,0,0,0,0,0,0,24-02-2026
Airidas,Golambeckis,19,0,0,0,0,0,0,0,0,24-02-2026
Bastien,Meupiyou Menadjou,20,0,0,0,0,0,0,0,0,24-02-2026
Alfie,Pond,20,0,0,0,0,0,0,0,0,24-02-2026
Saheed,Olagunju,20,0,0,0,0,0,0,0,0,24-02-2026
Mamadou,Sarr,7,2,0,-1,0,13.05,0,0,0,24-02-2026
Alex,Murphy,15,1,0,-1,0,24.3,0,0,0,24-02-2026
Nayef,Aguerd,19,180,0,-1,0,1.71,0.05,0.02,0.07,24-02-2026
Sam,Byram,11,7,0,-2,0,10.16,0,0,0,24-02-2026
Emil,Krafth,15,45,0,-8,0,0.5,0,0,0,24-02-2026
